id,eng_lextale
5cd92deab1fa6200018df415,75
6046ac1161b60d0fc94b0000,88.75
6046ac1161b60d0fc94b0000,86.25
5a0acda16e1ea9000124e675,95
5a06ebf2c259f300017656ee,86.25
627be8df969ba21063c8a31f,97.5
63f6216fd56701af4b7188f4,91.25
63206e5a3c9c07646ab937e7,68.75
5d0f89123382180001624f48,90
610485a4b72881131d111afd,85
5ee7fbc114d0a60f9b076fb6,97.5
60f866ea13e9f2e5cf2fa8fc,78.75
637fdd5f104309626bb377f8,86.25
63b87d2c9edd47ad702413a1,85
5e6d2835e0de62000922c8c2,100
5ea6d2afae702d06452f2ea5,100
613914cbb1f633800a5b53d1,85
5bbbdca68f3bd70001e713ef,62.5
63ba24688ddfd5e20503907d,83.75
61545686d49a33dab8587297,87.5
63eaa34e4d5bdf6b859a1149,92.5
5f56506b2a8fb805ac024015,95
6027eac2f4090f09439ee8e4,95
6156c03beb47b00976ab809f,87.5
62e95cb1f31ba3691a3ce87c,73.75
5b8eab705206680001da3583,85
5b8eab705206680001da3583,85
60fd0232c3f0f1a0f44ca3fb,92.5
627bbf61f416d87703e62ba5,98.75
5ed2edb5b7f800107d47c777,85
6148aa62a2ec09e97b42d7b2,93.75